,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
55,US - 400 ,1980,1,0,0,1.0,1.0,0,HARRIS-1,SHEARON HARRIS,Operational,USA,NC,35.6334,-78.9556
56,US - 401 ,1990,1,0,0,0.0,0.0,1,HARRIS-2C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
57,US - 401 ,1980,1,0,0,1.0,0.0,1,HARRIS-2C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
58,US - 402 ,1990,1,0,0,0.0,0.0,1,HARRIS-3C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
59,US - 402 ,1980,1,0,0,1.0,0.0,1,HARRIS-3C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
60,US - 403 ,1990,1,0,0,0.0,0.0,1,HARRIS-4C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
61,US - 403 ,1980,1,0,0,1.0,0.0,1,HARRIS-4C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
62,US - 404 ,1980,1,0,0,1.0,0.0,1,NORTH ANNA-3C,NORTH ANNA,Construction Cancelled,USA,VA,38.06,-77.7897
63,US - 404 ,1990,1,0,0,0.0,0.0,1,NORTH ANNA-3C,NORTH ANNA,Construction Cancelled,USA,VA,38.06,-77.7897
64,US - 410 ,1980,1,0,0,1.0,1.0,0,NINE MILE POINT-2,NINE MILE POINT,Operational,USA,NY,43.5214,-76.4084
65,US - 410 ,1990,0,1,0,0.0,0.0,0,NINE MILE POINT-2,NINE MILE POINT,Operational,USA,NY,43.5214,-76.4084
66,US - 412 ,1990,0,1,0,0.0,0.0,0,BEAVER VALLEY-2,BEAVER VALLEY,Operational,USA,PA,40.6219,-80.4336
67,US - 412 ,1980,1,0,0,1.0,1.0,0,BEAVER VALLEY-2,BEAVER VALLEY,Operational,USA,PA,40.6219,-80.4336
68,US - 413 ,1990,0,1,0,0.0,0.0,0,CATAWBA-1,CATAWBA,Operational,USA,SC,35.0514,-81.0694
69,US - 413 ,1980,1,0,0,1.0,1.0,0,CATAWBA-1,CATAWBA,Operational,USA,SC,35.0514,-81.0694
70,US - 414 ,1990,0,1,0,0.0,0.0,0,CATAWBA-2,CATAWBA,Operational,USA,SC,35.0514,-81.0694
71,US - 414 ,1980,1,0,0,1.0,1.0,0,CATAWBA-2,CATAWBA,Operational,USA,SC,35.0514,-81.0694
72,US - 416 ,1980,1,0,0,1.0,1.0,0,GRAND GULF-1,GRAND GULF,Operational,USA,MS,32.0081,-91.0478
73,US - 416 ,1990,0,1,0,0.0,0.0,0,GRAND GULF-1,GRAND GULF,Operational,USA,MS,32.0081,-91.0478
74,US - 423 ,1990,0,1,0,0.0,0.0,0,MILLSTONE-3,MILLSTONE,Operational,USA,CT,41.3107,-72.1677
75,US - 423 ,1980,1,0,0,1.0,1.0,0,MILLSTONE-3,MILLSTONE,Operational,USA,CT,41.3107,-72.1677
76,US - 424 ,1980,1,0,0,1.0,1.0,0,VOGTLE-1,VOGTLE,Operational,USA,GA,33.1427,-81.7625
77,US - 424 ,1990,0,1,0,0.0,0.0,0,VOGTLE-1,VOGTLE,Operational,USA,GA,33.1427,-81.7625
78,US - 425 ,1990,0,1,0,0.0,0.0,0,VOGTLE-2,VOGTLE,Operational,USA,GA,33.1427,-81.7625
79,US - 425 ,1980,1,0,0,1.0,1.0,0,VOGTLE-2,VOGTLE,Operational,USA,GA,33.1427,-81.7625
